family;codeFamily;label;translate
All;0;All families;Toutes les familles
PP En;1;Past participle ending in 'EN';Les participes passés qui se terminent en ‘EN’
Absolutely;2;The ones that you must know;Ceux à savoir absolument
Ear/Ore/Orn;3;EAR / ORE / ORN;Les « EAR » / « ORE » / « ORN »
PRES=PP;4;Past simple and past participle alike;Les prétérits et participes passés identiques
I-A-U;5;I-A-U are easy to remember;Les I-A-U sont faciles à retenir
Tea;6;The ones which like T, typical for the British;Ceux qui aiment le ‘T’, normal pour des anglais !
no-change;7;The ones which don't change;Ceux qui ne changent pas
P=PP;8;Infinitive and past participle alike;Ceux qui ont 2 formes identiques : infinitif et participe passé
/I:/=>/e/;9;Long I /i:/ becomes /e/;Les i longs /i:/ qui se transforment en son /e/
Ew=>Awn/Own;10;The ones for which the past simple EW becomes AWN or OWN;Ceux en EW au prétérit deviennent AWN ou OWN
Ght;11;GHT;La série des « j'ai acheté »… GHT
unknown;12;Unclassifiable;Inclassable
